Freq [GHz],"dB(S(1,1))","dB(S(2,2))","dB(S(3,3))","dB(S(4,4))"
4.21,-14.0598367,-19.48276519,-12.09956218,-21.21837741
4.22,-14.0142871,-19.68592324,-12.05771355,-21.0336898
4.23,-13.96940671,-19.89480641,-12.0175094,-20.85451018
4.24,-13.92518217,-20.1096722,-11.97893918,-20.6806617
4.25,-13.88161374,-20.33079553,-11.94199268,-20.51197483
4.26,-13.83871704,-20.5584703,-11.90666008,-20.34828709
4.27,-13.79652472,-20.79301112,-11.87293194,-20.18944283
4.28,-13.75508812,-21.03475521,-11.84079916,-20.03529293
4.29,-13.71447874,-21.2840644,-11.81025303,-19.88569452
4.3,-13.67478949,-21.54132747,-11.78128525,-19.74051069
4.31,-13.63613578,-21.80696258,-11.75388787,-19.59961018
4.32,-13.59865608,-22.08141996,-11.72805337,-19.46286708
4.33,-13.56251224,-22.36518479,-11.70377466,-19.3301606
4.34,-13.52788915,-22.65878033,-11.68104507,-19.20137473
4.35,-13.49499384,-22.96277117,-11.65985841,-19.07639802
4.36,-13.46405399,-23.27776658,-11.64020897,-18.95512334
4.37,-13.43531557,-23.60442388,-11.62209156,-18.83744759
4.38,-13.40903991,-23.94345169,-11.60550154,-18.72327153
4.39,-13.38549986,-24.29561261,-11.59043484,-18.61249956
4.4,-13.36497532,-24.66172521,-11.57688803,-18.50503948
4.41,-13.34774815,-25.04266437,-11.56485832,-18.40080235
4.42,-13.3340965,-25.43935918,-11.55434366,-18.29970228
4.43,-13.32428879,-25.85278687,-11.54534272,-18.2016563
4.44,-13.31857758,-26.28396042,-11.53785502,-18.10658417
4.45,-13.31719342,-26.73390657,-11.53188094,-18.01440826
4.46,-13.32033906,-27.2036289,-11.52742178,-17.92505339
4.47,-13.32818421,-27.69404841,-11.52447987,-17.83844674
4.48,-13.340861,-28.20590987,-11.5230586,-17.75451772
4.49,-13.35846052,-28.73963681,-11.52316252,-17.67319783
4.5,-13.3810304,-29.29511037,-11.52479743,-17.59442061
4.51,-13.40857369,-29.87133667,-11.52797047,-17.51812151
4.52,-13.44104892,-30.4659563,-11.53269019,-17.4442378
4.53,-13.47837147,-31.0745409,-11.53896669,-17.37270851
4.54,-13.52041602,-31.68962908,-11.54681172,-17.30347436
4.55,-13.56701999,-32.29950397,-11.55623881,-17.23647764
4.56,-13.6179878,-32.88685755,-11.56726337,-17.17166221
4.57,-13.6730957,-33.42778288,-11.57990287,-17.10897337
4.58,-13.73209695,-33.8919821,-11.59417697,-17.04835787
4.59,-13.79472722,-34.24542503,-11.61010765,-16.98976381
4.6,-13.86070983,-34.45627733,-11.62771946,-16.93314059
4.61,-13.92976082,-34.50307932,-11.64703962,-16.87843891
4.62,-14.00159371,-34.38162039,-11.66809827,-16.82561067
4.63,-14.07592366,-34.10641105,-11.69092865,-16.77460895
4.64,-14.15247123,-33.70577433,-11.71556738,-16.72538799
4.65,-14.23096545,-33.21368667,-11.74205463,-16.67790312
4.66,-14.31114641,-32.66258325,-11.77043444,-16.63211077
4.67,-14.39276723,-32.07929742,-11.80075501,-16.5879684
4.68,-14.47559547,-31.48393585,-11.83306893,-16.54543447
4.69,-14.55941417,-30.89049203,-11.86743361,-16.50446845
4.7,-14.64402236,-30.30811675,-11.90391153,-16.46503075
4.71,-14.72923527,-29.74242131,-11.94257071,-16.42708272
4.72,-14.81488419,-29.19656039,-11.98348503,-16.39058661
4.73,-14.90081611,-28.67204516,-12.02673473,-16.35550557
4.74,-14.98689317,-28.16931998,-12.07240685,-16.32180361
4.75,-15.07299195,-27.68815771,-12.12059574,-16.28944557
