Freq [GHz],S12_Simulated,S12_Measured,S13_Simulated,S13_Measured,S14_Simulated,S14_Measured
7.81,-18.60532,-18.814,-22.46686,-21.27971,-16.95545,-16.85124
7.82,-18.74393,-18.91856,-22.7161,-21.47646,-17.09373,-16.96018
7.83,-18.88703,-19.02768,-22.97002,-21.67725,-17.23836,-17.07406
7.84,-19.03442,-19.14123,-23.22829,-21.8817,-17.38915,-17.19269
7.85,-19.18586,-19.25908,-23.49057,-22.08948,-17.54594,-17.3159
7.86,-19.34118,-19.38109,-23.75654,-22.30026,-17.70857,-17.44352
7.87,-19.50019,-19.50713,-24.02587,-22.51372,-17.87689,-17.57539
7.88,-19.66273,-19.63708,-24.29824,-22.72959,-18.05076,-17.71136
7.89,-19.82866,-19.77081,-24.57331,-22.94759,-18.23005,-17.85126
7.9,-19.99786,-19.90822,-24.85074,-23.16749,-18.41464,-17.99496
7.91,-20.17022,-20.0492,-25.13019,-23.38905,-18.60443,-18.14231
7.92,-20.34567,-20.19363,-25.41127,-23.61207,-18.79931,-18.29318
7.93,-20.52416,-20.34142,-25.69361,-23.83637,-18.9992,-18.44745
7.94,-20.70564,-20.49248,-25.97676,-24.06179,-19.20402,-18.605
7.95,-20.89012,-20.64671,-26.26027,-24.28817,-19.41369,-18.76573
7.96,-21.07761,-20.80403,-26.54362,-24.51539,-19.62815,-18.92954
7.97,-21.26814,-20.96436,-26.82625,-24.74333,-19.84733,-19.09632
7.98,-21.46176,-21.12761,-27.10752,-24.9719,-20.07119,-19.266
7.99,-21.65856,-21.29372,-27.3867,-25.20101,-20.29967,-19.4385
8,-21.85862,-21.46259,-27.66301,-25.43059,-20.53271,-19.61374
8.01,-22.06205,-21.63418,-27.93554,-25.6606,-20.77026,-19.79164
8.02,-22.26898,-21.80839,-28.20328,-25.89097,-21.01225,-19.97216
8.03,-22.47954,-21.98516,-28.46513,-26.1217,-21.25863,-20.15522
8.04,-22.69386,-22.16442,-28.71987,-26.35274,-21.50931,-20.34077
8.05,-22.91208,-22.3461,-28.96615,-26.5841,-21.76419,-20.52874
8.06,-23.13434,-22.53011,-29.20256,-26.81578,-22.02317,-20.71909
8.07,-23.36075,-22.71638,-29.42759,-27.04777,-22.28612,-20.91175
8.08,-23.59142,-22.90482,-29.6397,-27.2801,-22.55288,-21.10665
8.09,-23.82642,-23.09534,-29.83732,-27.51281,-22.82325,-21.30374
8.1,-24.06579,-23.28784,-30.01896,-27.74591,-23.09702,-21.50293
8.11,-24.30952,-23.48222,-30.1832,-27.97945,-23.3739,-21.70415
8.12,-24.55753,-23.67835,-30.32883,-28.21349,-23.65358,-21.9073
8.13,-24.80967,-23.87611,-30.45488,-28.44808,-23.93567,-22.11228
8.14,-25.06572,-24.07535,-30.56069,-28.68329,-24.21974,-22.31895
8.15,-25.32532,-24.27591,-30.646,-28.91918,-24.50528,-22.5272
8.16,-25.58802,-24.47762,-30.71096,-29.15584,-24.79168,-22.73684
8.17,-25.85322,-24.68027,-30.7562,-29.39335,-25.07827,-22.94771
8.18,-26.12017,-24.88364,-30.78277,-29.6318,-25.36428,-23.15959
8.19,-26.38797,-25.0875,-30.79217,-29.87129,-25.64883,-23.37224
8.2,-26.65552,-25.29157,-30.78629,-30.11193,-25.93095,-23.5854
8.21,-26.92156,-25.49555,-30.76731,-30.35384,-26.20956,-23.79876
8.22,-27.18464,-25.69912,-30.73767,-30.59712,-26.4835,-24.01199
8.23,-27.44313,-25.90191,-30.69992,-30.84192,-26.75148,-24.22471
8.24,-27.69522,-26.10354,-30.6567,-31.08836,-27.01217,-24.4365
8.25,-27.93898,-26.30358,-30.6106,-31.3366,-27.26415,-24.64692
8.26,-28.17238,-26.50158,-30.56411,-31.58677,-27.50597,-24.85547
8.27,-28.39331,-26.69705,-30.51957,-31.83905,-27.73616,-25.06163
8.28,-28.59969,-26.88946,-30.47907,-32.0936,-27.95331,-25.26483
8.29,-28.78951,-27.07827,-30.4445,-32.3506,-28.15605,-25.46449
8.3,-28.96089,-27.2629,-30.41743,-32.61024,-28.34314,-25.65999
8.31,-29.11221,-27.44277,-30.3992,-32.87272,-28.5135,-25.85072
8.32,-29.24212,-27.61727,-30.39082,-33.13826,-28.66626,-26.03602
8.33,-29.34965,-27.7858,-30.39307,-33.40707,-28.80078,-26.21527
8.34,-29.43422,-27.94774,-30.40646,-33.67939,-28.91669,-26.38787
8.35,-29.49565,-28.10251,-30.43126,-33.95547,-29.01392,-26.55321
8.36,-29.5342,-28.24954,-30.46755,-34.23557,-29.09268,-26.71077
8.37,-29.55051,-28.38831,-30.51523,-34.51997,-29.15343,-26.86005
8.38,-29.54555,-28.51835,-30.57403,-34.80898,-29.19692,-27.00063
8.39,-29.52059,-28.63922,-30.64359,-35.10289,-29.22409,-27.13217
8.4,-29.47708,-28.75061,-30.72343,-35.40204,-29.23608,-27.25443
8.41,-29.41664,-28.85223,-30.81302,-35.70678,-29.23415,-27.36724
8.42,-29.34096,-28.94394,-30.91177,-36.01749,-29.21964,-27.47056
8.43,-29.25173,-29.02565,-31.01905,-36.33455,-29.19397,-27.56444
8.44,-29.15062,-29.09739,-31.13425,-36.65839,-29.15852,-27.64902
8.45,-29.03924,-29.15928,-31.25674,-36.98945,-29.11467,-27.72455
8.46,-28.91908,-29.21156,-31.38589,-37.3282,-29.06375,-27.79136
8.47,-28.79156,-29.25453,-31.52111,-37.67514,-29.00701,-27.84986
8.48,-28.65793,-29.28859,-31.66183,-38.03079,-28.9456,-27.90052
8.49,-28.51936,-29.31422,-31.80752,-38.39573,-28.88058,-27.94387
8.5,-28.37688,-29.33195,-31.95765,-38.77052,-28.81293,-27.98047
8.51,-28.2381,-29.35945,-32.14176,-39.23442,-28.64712,-28.00444
8.52,-28.10374,-29.37749,-32.33518,-39.72602,-28.50909,-28.02271
8.53,-27.97368,-29.38657,-32.53848,-40.24872,-28.39285,-28.03575
8.54,-27.84778,-29.38735,-32.75231,-40.80654,-28.29316,-28.04405
