Freq [GHz],S12,S13,S14,S23,S24,S34
8.45,-29.03924,-31.25674,-29.11467,-27.56567,-29.96441,-28.75605
8.46,-28.91908,-31.38589,-29.06375,-27.71147,-30.08434,-28.73994
8.47,-28.79156,-31.52111,-29.00701,-27.84183,-30.2115,-28.70103
8.48,-28.65793,-31.66183,-28.9456,-27.95682,-30.34531,-28.64253
8.49,-28.51936,-31.80752,-28.88058,-28.05673,-30.48515,-28.56793
8.5,-28.37688,-31.95765,-28.81293,-28.1421,-30.63042,-28.48079
8.51,-28.2381,-32.14176,-28.64712,-28.25564,-30.7764,-28.36579
8.52,-28.10374,-32.33518,-28.50909,-28.33088,-30.93232,-28.25626
8.53,-27.97368,-32.53848,-28.39285,-28.37237,-31.09871,-28.15146
8.54,-27.84778,-32.75231,-28.29316,-28.38511,-31.27611,-28.0508
8.55,-27.72592,-32.97737,-28.20579,-28.37407,-31.46509,-27.95382
8.56,-27.608,-33.21443,-28.12751,-28.34394,-31.66625,-27.86018
8.57,-27.49392,-33.46432,-28.05587,-28.29889,-31.8802,-27.7696
8.58,-27.38357,-33.72798,-27.98907,-28.24254,-32.10757,-27.68187
8.59,-27.27688,-34.00643,-27.92577,-28.17795,-32.34903,-27.59683
8.6,-27.17377,-34.30082,-27.86501,-28.10763,-32.60524,-27.51436
8.61,-27.07416,-34.61241,-27.80607,-28.0336,-32.87692,-27.43436
8.62,-26.978,-34.94263,-27.74844,-27.95748,-33.16478,-27.35678
8.63,-26.88522,-35.29308,-27.69172,-27.88057,-33.46957,-27.28156
8.64,-26.79578,-35.66557,-27.63566,-27.80384,-33.79201,-27.2087
8.65,-26.70964,-36.06213,-27.58005,-27.72806,-34.13288,-27.13816
8.66,-26.62677,-36.48509,-27.52475,-27.65382,-34.49289,-27.06995
8.67,-26.54713,-36.9371,-27.46967,-27.58153,-34.87275,-27.00406
8.68,-26.4707,-37.4212,-27.41475,-27.51151,-35.2731,-26.94052
8.69,-26.39747,-37.94087,-27.35994,-27.44399,-35.69445,-26.87934
8.7,-26.32744,-38.50011,-27.30524,-27.37912,-36.13714,-26.82052
8.71,-26.2606,-39.10351,-27.25063,-27.31699,-36.60123,-26.7641
8.72,-26.19695,-39.75628,-27.19613,-27.25767,-37.08634,-26.71009
8.73,-26.13651,-40.46421,-27.14175,-27.20116,-37.59147,-26.6585
8.74,-26.07928,-41.23356,-27.08752,-27.14748,-38.11469,-26.60936
8.75,-26.02529,-42.07048,-27.03347,-27.09659,-38.65278,-26.56269
8.76,-25.97456,-42.9798,-26.97963,-27.04846,-39.20068,-26.51848
8.77,-25.92711,-43.96218,-26.92604,-27.00305,-39.75093,-26.47677
8.78,-25.88298,-45.00806,-26.87276,-26.9603,-40.29289,-26.43754
8.79,-25.84219,-46.08573,-26.81982,-26.92015,-40.81221,-26.40081
8.8,-25.80479,-47.1208,-26.76729,-26.88254,-41.29056,-26.36658
8.81,-25.77081,-47.97349,-26.7152,-26.84741,-41.70626,-26.33483
8.82,-25.74029,-48.44869,-26.66362,-26.8147,-42.03622,-26.30556
8.83,-25.71327,-48.39117,-26.61261,-26.78432,-42.25941,-26.27876
8.84,-25.68978,-47.81281,-26.56222,-26.75623,-42.36117,-26.25441
8.85,-25.66988,-46.88157,-26.51252,-26.73036,-42.33682,-26.23248
8.86,-25.65359,-45.78916,-26.46358,-26.70663,-42.19301,-26.21295
8.87,-25.64096,-44.6669,-26.41546,-26.68499,-41.94577,-26.19579
8.88,-25.63201,-43.58284,-26.36822,-26.66537,-41.61672,-26.18096
8.89,-25.62679,-42.56525,-26.32195,-26.64772,-41.2287,-26.16842
8.9,-25.62532,-41.62213,-26.27671,-26.63196,-40.8027,-26.15814
8.91,-25.62762,-40.75223,-26.23257,-26.61805,-40.35613,-26.15005
8.92,-25.63372,-39.95062,-26.18961,-26.60592,-39.90246,-26.14413
8.93,-25.64363,-39.21125,-26.14791,-26.59551,-39.45153,-26.1403
8.94,-25.65736,-38.52807,-26.10754,-26.58677,-39.0102,-26.13853
8.95,-25.67492,-37.89548,-26.06859,-26.57965,-38.58306,-26.13875
8.96,-25.69631,-37.3085,-26.03113,-26.57408,-38.17298,-26.1409
8.97,-25.72152,-36.76277,-25.99523,-26.57002,-37.78168,-26.14493
8.98,-25.75053,-36.25448,-25.961,-26.56741,-37.41002,-26.15078
8.99,-25.78332,-35.78035,-25.92849,-26.56619,-37.05831,-26.15838
9,-25.81987,-35.33749,-25.89779,-26.56632,-36.7265,-26.16768
9.01,-25.86013,-34.92343,-25.86899,-26.56775,-36.41428,-26.17861
9.02,-25.90407,-34.53595,-25.84216,-26.57043,-36.12122,-26.19111
9.03,-25.95162,-34.17315,-25.81738,-26.5743,-35.84681,-26.20513
9.04,-26.00273,-33.83332,-25.79472,-26.57932,-35.59049,-26.2206
9.05,-26.05732,-33.51494,-25.77427,-26.58543,-35.35168,-26.23747
9.06,-26.11534,-33.21664,-25.75609,-26.5926,-35.12982,-26.25569
9.07,-26.17667,-32.93721,-25.74025,-26.60077,-34.92435,-26.2752
9.08,-26.24125,-32.67552,-25.72682,-26.60991,-34.7347,-26.29594
9.09,-26.30895,-32.43053,-25.71587,-26.61995,-34.56034,-26.31789
9.1,-26.37969,-32.20129,-25.70745,-26.63087,-34.40072,-26.34098
9.11,-26.45333,-31.9869,-25.70162,-26.64263,-34.25529,-26.36517
9.12,-26.52977,-31.78653,-25.69843,-26.65517,-34.12347,-26.39044
9.13,-26.60886,-31.59936,-25.69792,-26.66848,-34.00466,-26.41673
9.14,-26.69046,-31.42462,-25.70014,-26.68251,-33.8982,-26.44403
9.15,-26.77445,-31.26155,-25.70511,-26.69723,-33.80341,-26.4723
9.16,-26.86065,-31.10943,-25.71288,-26.71263,-33.71949,-26.50152
9.17,-26.94892,-30.96752,-25.72345,-26.72869,-33.6456,-26.53166
9.18,-27.03908,-30.83513,-25.73684,-26.74539,-33.58076,-26.56272
9.19,-27.13097,-30.71155,-25.75305,-26.76274,-33.52393,-26.59467
9.2,-27.2244,-30.59606,-25.7721,-26.78074,-33.47392,-26.62751
9.21,-27.3192,-30.48798,-25.79395,-26.79944,-33.42945,-26.66122
9.22,-27.41516,-30.38659,-25.81861,-26.81886,-33.38911,-26.69581
9.23,-27.51209,-30.29122,-25.84604,-26.83908,-33.35141,-26.73127
9.24,-27.60979,-30.20116,-25.87621,-26.86018,-33.31475,-26.76761
9.25,-27.70804,-30.11572,-25.90907,-26.88228,-33.27749,-26.80481
9.26,-27.80663,-30.03423,-25.94458,-26.90553,-33.23794,-26.84289
9.27,-27.90534,-29.95603,-25.98268,-26.93011,-33.19445,-26.88184
9.28,-28.00394,-29.88045,-26.02329,-26.95624,-33.14539,-26.92166
9.29,-28.10219,-29.80687,-26.06634,-26.98416,-33.08925,-26.96236
9.3,-28.19986,-29.73467,-26.11174,-27.01416,-33.02469,-27.00391
9.31,-28.2967,-29.66328,-26.15941,-27.04651,-32.95052,-27.04632
9.32,-28.39246,-29.59215,-26.20924,-27.08148,-32.86582,-27.08956
9.33,-28.4869,-29.52077,-26.26112,-27.11929,-32.76992,-27.13361
9.34,-28.57975,-29.44867,-26.31493,-27.16009,-32.66242,-27.17842
9.35,-28.67076,-29.37543,-26.37055,-27.20385,-32.5432,-27.22394
9.36,-28.75967,-29.30069,-26.42786,-27.2504,-32.41242,-27.27012
9.37,-28.84621,-29.22412,-26.48671,-27.29933,-32.27046,-27.31687
9.38,-28.93013,-29.14546,-26.54697,-27.34999,-32.11792,-27.36411
9.39,-29.01117,-29.06449,-26.60848,-27.40157,-31.95557,-27.41171
9.4,-29.08906,-28.98107,-26.6711,-27.45307,-31.78431,-27.45955
9.41,-29.16355,-28.89508,-26.73466,-27.50348,-31.60511,-27.50747
9.42,-29.2344,-28.80647,-26.799,-27.55181,-31.41899,-27.55532
9.43,-29.30136,-28.71524,-26.86397,-27.59721,-31.22699,-27.60291
9.44,-29.36419,-28.62143,-26.92939,-27.63903,-31.03011,-27.65004
9.45,-29.42268,-28.52512,-26.9951,-27.67684,-30.82932,-27.6965
9.46,-29.4766,-28.42643,-27.06092,-27.71041,-30.62554,-27.74206
9.47,-29.52576,-28.32551,-27.12669,-27.73971,-30.41958,-27.78651
9.48,-29.56997,-28.22253,-27.19224,-27.76482,-30.21222,-27.8296
9.49,-29.60907,-28.1177,-27.2574,-27.78592,-30.00413,-27.87112
9.5,-29.64289,-28.01124,-27.322,-27.80325,-29.7959,-27.91085
